genre,danceability,energy,valence,tempo,acousticness,loudness,popularity
 punk blues,0.5455555555555556,0.7204444444444444,0.4591111111111111,126.92277777777778,0.17358666666666667,-5.344222222222222,71.77777777777777
 queens hip hop,0.7667777777777778,0.69975,0.6973055555555556,107.24213888888889,0.13055777777777777,-6.648777777777777,67.0
 queercore,0.6014999999999999,0.867,0.6375,160.495,0.05715,-3.377,66.5
 quiet storm,0.6262049180327869,0.5450139344262295,0.6883270491803278,119.35570491803279,0.3645544180327869,-10.650967213114754,59.66393442622951
 r&b,0.6835193370165745,0.5685469613259668,0.5670110497237569,113.84243093922652,0.1988473259668508,-7.997657458563536,67.67955801104972
 rage rap,0.7352941176470589,0.6820588235294118,0.459235294117647,136.88711764705883,0.17488658823529413,-6.081470588235295,75.17647058823529
 ranchera,0.5837156862745099,0.45428627450980397,0.6362254901960784,119.07461764705883,0.45944411764705884,-9.555274509803922,65.40196078431373
 rap,0.7049047619047619,0.6406849816849817,0.4966282051282051,117.14419963369963,0.17475678754578752,-6.602996336996337,73.0
 rap boricua,0.815,0.856,0.872,91.995,0.4,-3.825,78.0
 rap latina,0.7629999999999999,0.6855,0.427,107.437,0.16435,-6.395,73.0
 rap metal,0.47519298245614033,0.8760964912280702,0.42997192982456145,119.30437719298246,0.02481934105263158,-4.731675438596491,69.71929824561404
 rap rock,0.647896551724138,0.808103448275862,0.6436551724137931,120.82189655172414,0.05587117241379311,-6.758310344827587,66.27586206896552
 reading indie,0.30300000000000005,0.49050000000000005,0.248,97.5995,0.0044150000000000005,-11.596,66.0
 reggae,0.802,0.39649999999999996,0.7105,72.807,0.0835,-9.665500000000002,62.0
 reggae fusion,0.7487826086956523,0.6591739130434783,0.6571304347826087,116.7643043478261,0.08277421739130435,-7.068608695652174,65.43478260869566
 reggae rock,0.5905,0.717,0.441,122.633,0.1925,-6.3085,59.5
 reggaeton,0.78352,0.78256,0.6448,106.1582,0.1725592,-5.426559999999999,76.4
 reggaeton colombiano,0.8026,0.729,0.5358,145.7912,0.21960000000000002,-5.0708,83.8
 rhythm and blues,0.708,0.49750000000000005,0.878,125.79400000000001,0.62,-11.2085,60.0
 riot grrrl,0.5355,0.863,0.62325,147.93575,0.03995236,-5.27675,66.75
 rochester mn indie,0.392,0.429,0.105,72.104,0.527,-10.279,77.0
 rock,0.5207474358974359,0.689088141025641,0.5602970512820513,123.0954826923077,0.18107878439743588,-8.307207692307692,65.18846153846154
